X,Y,Coastal,Blue,Green,Red,NIR,SWIR1,SWIR2,NDVI,IPVI,GRVI,poroda_short
365745,5662815,25,21,14,81,37,197,15,0.31356,-0.37288,-0.70526,BEPE
366195,5661795,25,21,16,53,28,198,13,0.34568,-0.30864,-0.53623,PISY
366765,5661225,25,21,14,58,28,198,12,0.32558,-0.34884,-0.61111,PISY
365865,5661735,25,21,16,49,28,199,14,0.36364,-0.27273,-0.50769,PISY
366165,5660955,24,20,15,54,28,199,13,0.34146,-0.31707,-0.56522,PISY
367485,5663415,24,20,14,55,26,197,13,0.32099,-0.35802,-0.5942,OTHERS
366675,5663445,24,19,14,72,31,197,12,0.30097,-0.39806,-0.67442,BEPE
367335,5662305,26,21,16,56,30,196,14,0.34884,-0.30233,-0.55556,BEPE
369195,5663025,25,21,15,66,32,197,15,0.32653,-0.34694,-0.62963,PISY
365145,5662065,25,20,15,59,30,198,14,0.33708,-0.32584,-0.59459,BEPE
367395,5663385,24,20,14,60,29,197,14,0.32584,-0.34831,-0.62162,BEPE
368925,5663355,25,20,15,61,29,197,13,0.32222,-0.35556,-0.60526,PISY
368925,5663235,25,20,14,51,24,198,11,0.32,-0.36,-0.56923,PISY
368895,5663085,25,21,15,47,24,198,12,0.33803,-0.32394,-0.51613,PISY
367335,5663895,27,23,17,58,25,197,12,0.3012,-0.39759,-0.54667,PISY
367335,5663745,25,19,14,54,27,197,13,0.33333,-0.33333,-0.58824,PISY
367395,5663565,24,19,14,46,25,198,12,0.35211,-0.29577,-0.53333,PISY
368685,5657265,25,20,16,53,34,199,18,0.3908,-0.21839,-0.53623,PISY
366555,5655945,26,21,16,47,26,199,13,0.35616,-0.28767,-0.49206,PISY
367275,5657895,25,21,16,55,33,202,16,0.375,-0.25,-0.5493,PISY
367215,5657985,26,21,18,56,39,201,22,0.41053,-0.17895,-0.51351,PISY
369045,5657745,25,21,17,49,42,199,23,0.46154,-0.07692,-0.48485,PISY
364485,5654865,25,20,15,58,29,200,12,0.33333,-0.33333,-0.58904,PISY
366585,5653995,26,21,15,59,28,198,14,0.32184,-0.35632,-0.59459,PISY
364485,5651055,25,20,15,66,37,200,18,0.35922,-0.28155,-0.62963,PISY
368985,5656395,27,21,15,78,36,198,15,0.31579,-0.36842,-0.67742,PISY
368025,5663535,24,20,14,97,38,198,15,0.28148,-0.43704,-0.74775,PISY
365175,5662515,25,21,14,85,37,199,15,0.30328,-0.39344,-0.71717,PISY
368025,5663385,25,21,16,82,42,198,19,0.33871,-0.32258,-0.67347,PISY
354855,5671875,27,22,18,52,25,197,13,0.32468,-0.35065,-0.48571,PISY
350325,5650425,25,22,15,75,35,196,14,0.31818,-0.36364,-0.66667,POTR
349935,5657685,26,22,15,77,35,194,16,0.3125,-0.375,-0.67391,OTHERS
351705,5663745,24,20,14,73,37,201,16,0.33636,-0.32727,-0.67816,OTHERS
354675,5665875,25,21,15,87,42,196,17,0.32558,-0.34884,-0.70588,POTR
359235,5675415,26,22,16,76,34,197,14,0.30909,-0.38182,-0.65217,OTHERS
346485,5658345,28,22,16,46,25,200,13,0.35211,-0.29577,-0.48387,PISY
346635,5658165,26,21,16,47,27,200,13,0.36486,-0.27027,-0.49206,PISY
347715,5659005,26,21,18,46,30,198,15,0.39474,-0.21053,-0.4375,PISY
347775,5659095,28,25,20,46,30,198,17,0.39474,-0.21053,-0.39394,PISY
347625,5659305,26,21,18,45,29,199,15,0.39189,-0.21622,-0.42857,PISY
347475,5659185,26,21,17,45,29,198,15,0.39189,-0.21622,-0.45161,PISY
347385,5659365,27,21,17,44,32,202,16,0.42105,-0.15789,-0.44262,PISY
347775,5659575,27,21,18,45,35,199,19,0.4375,-0.125,-0.42857,PISY
347835,5660025,26,21,17,51,32,199,17,0.38554,-0.22892,-0.5,PISY
347625,5660085,28,22,17,48,27,199,13,0.36,-0.28,-0.47692,PISY
347505,5660325,25,20,15,49,25,200,12,0.33784,-0.32432,-0.53125,PISY
346725,5660145,26,21,17,42,31,202,16,0.42466,-0.15068,-0.42373,PISY
346755,5660055,26,21,17,43,32,201,17,0.42667,-0.14667,-0.43333,PISY
346785,5659935,27,22,18,44,34,203,19,0.4359,-0.12821,-0.41935,PISY
346815,5660325,26,21,17,44,31,201,16,0.41333,-0.17333,-0.44262,PISY
347505,5661525,27,21,15,74,41,200,18,0.35652,-0.28696,-0.66292,PISY
347685,5661735,26,20,15,53,28,198,13,0.34568,-0.30864,-0.55882,PISY
348105,5661705,27,20,16,51,28,197,15,0.35443,-0.29114,-0.52239,PISY
347835,5661795,27,21,15,48,27,197,13,0.36,-0.28,-0.52381,PISY
347265,5661525,26,20,15,47,26,200,13,0.35616,-0.28767,-0.51613,PISY
347205,5661615,25,19,15,55,25,199,11,0.3125,-0.375,-0.57143,PISY
346365,5661735,25,20,15,45,28,200,13,0.38356,-0.23288,-0.5,PISY
346275,5661765,25,20,15,46,26,200,13,0.36111,-0.27778,-0.5082,PISY
347805,5662245,26,21,15,52,28,196,13,0.35,-0.3,-0.55224,PISY
344265,5661195,26,20,15,52,29,199,15,0.35802,-0.28395,-0.55224,PISY
351555,5665335,25,20,15,50,27,196,12,0.35065,-0.2987,-0.53846,PISY
351615,5665665,24,19,14,51,23,196,10,0.31081,-0.37838,-0.56923,PISY
351315,5665305,27,20,16,53,29,196,14,0.35366,-0.29268,-0.53623,PISY
350955,5667225,26,21,17,49,33,199,17,0.40244,-0.19512,-0.48485,PISY
350805,5667825,25,20,15,47,23,198,10,0.32857,-0.34286,-0.51613,PISY
350445,5667825,26,20,15,51,24,197,12,0.32,-0.36,-0.54545,PISY
348075,5666625,26,21,16,45,29,199,16,0.39189,-0.21622,-0.47541,PISY
348315,5666625,25,20,15,48,27,198,12,0.36,-0.28,-0.52381,PISY
347835,5666775,25,21,16,47,30,199,16,0.38961,-0.22078,-0.49206,PISY
352305,5668335,24,19,14,53,28,196,12,0.34568,-0.30864,-0.58209,PISY
352815,5669115,26,21,16,53,26,196,13,0.32911,-0.34177,-0.53623,PISY
350265,5668545,26,21,16,49,29,196,15,0.37179,-0.25641,-0.50769,PISY
350565,5668605,26,19,17,46,26,196,12,0.36111,-0.27778,-0.46032,PISY
355005,5671425,26,21,16,51,27,198,12,0.34615,-0.30769,-0.52239,PISY
354885,5671215,27,22,17,50,35,197,17,0.41176,-0.17647,-0.49254,PISY
350865,5671515,26,21,15,54,28,197,13,0.34146,-0.31707,-0.56522,PISY
351555,5670825,28,22,16,51,26,197,13,0.33766,-0.32468,-0.52239,PISY
351495,5670885,26,21,16,51,26,196,12,0.33766,-0.32468,-0.52239,PISY
351225,5671215,25,19,14,56,26,197,11,0.31707,-0.36585,-0.6,PISY
349665,5670375,25,20,15,50,29,199,14,0.36709,-0.26582,-0.53846,PISY
349485,5670585,25,19,15,46,26,199,13,0.36111,-0.27778,-0.5082,PISY
351495,5670615,27,21,17,50,28,196,13,0.35897,-0.28205,-0.49254,PISY
351225,5670135,26,20,16,51,25,196,12,0.32895,-0.34211,-0.52239,PISY
351315,5670045,26,20,16,52,25,196,13,0.32468,-0.35065,-0.52941,PISY
351045,5670405,25,20,15,56,27,196,13,0.3253,-0.3494,-0.57746,PISY
351135,5670735,25,20,15,54,29,196,14,0.3494,-0.3012,-0.56522,PISY
351435,5669865,26,20,16,47,25,197,12,0.34722,-0.30556,-0.49206,PISY
351315,5669835,26,21,16,53,28,199,15,0.34568,-0.30864,-0.53623,PISY
351675,5670525,29,22,17,49,25,196,13,0.33784,-0.32432,-0.48485,PISY
351675,5670255,26,20,15,54,24,196,11,0.30769,-0.38462,-0.56522,PISY
352185,5670045,25,21,16,44,27,198,14,0.38028,-0.23944,-0.46667,PISY
351855,5670345,24,18,15,54,26,196,12,0.325,-0.35,-0.56522,PISY
352185,5670675,26,21,15,61,29,196,13,0.32222,-0.35556,-0.60526,PISY
351945,5670465,25,20,16,50,25,197,11,0.33333,-0.33333,-0.51515,PISY
352485,5670885,27,22,18,47,30,200,15,0.38961,-0.22078,-0.44615,PISY
352365,5670285,26,21,17,46,29,198,15,0.38667,-0.22667,-0.46032,PISY
352845,5670165,25,20,15,56,27,198,11,0.3253,-0.3494,-0.57746,PISY
352845,5670135,26,20,16,55,26,197,12,0.32099,-0.35802,-0.5493,PISY
352425,5670225,25,21,16,47,28,199,14,0.37333,-0.25333,-0.49206,PISY
352275,5670165,26,21,16,46,29,198,15,0.38667,-0.22667,-0.48387,PISY
352545,5669985,26,21,17,43,30,198,16,0.41096,-0.17808,-0.43333,PISY
350025,5670105,25,20,15,49,25,197,11,0.33784,-0.32432,-0.53125,PISY
350385,5669955,26,21,16,49,28,198,14,0.36364,-0.27273,-0.50769,PISY
352185,5669955,26,22,17,47,28,198,15,0.37333,-0.25333,-0.46875,PISY
351615,5669895,24,19,14,70,32,197,12,0.31373,-0.37255,-0.66667,BEPE
351525,5669475,26,21,17,52,33,199,16,0.38824,-0.22353,-0.50725,PISY
352185,5669445,26,21,15,61,27,196,12,0.30682,-0.38636,-0.60526,PISY
351675,5669655,26,21,17,56,40,200,21,0.41667,-0.16667,-0.53425,PISY
351615,5669535,25,20,15,49,30,199,15,0.37975,-0.24051,-0.53125,PISY
351735,5669775,25,20,16,46,27,199,14,0.36986,-0.26027,-0.48387,PISY
351795,5669925,26,20,16,46,33,198,18,0.41772,-0.16456,-0.48387,PISY
352635,5669565,25,19,14,49,24,196,10,0.32877,-0.34247,-0.55556,PISY
352245,5669775,26,21,15,56,29,197,12,0.34118,-0.31765,-0.57746,BEPE
352365,5669925,25,20,16,44,26,198,13,0.37143,-0.25714,-0.46667,PISY
352455,5669685,26,20,16,50,24,197,11,0.32432,-0.35135,-0.51515,PISY
352335,5669325,25,19,16,47,23,197,12,0.32857,-0.34286,-0.49206,PISY
352605,5669415,25,20,15,50,25,197,12,0.33333,-0.33333,-0.53846,PISY
353025,5670435,26,21,16,51,27,202,14,0.34615,-0.30769,-0.52239,PISY
353115,5670435,27,22,19,49,36,202,21,0.42353,-0.15294,-0.44118,PISY
353385,5669685,26,20,16,48,29,197,15,0.37662,-0.24675,-0.5,PISY
353205,5669625,26,20,16,45,24,198,13,0.34783,-0.30435,-0.47541,PISY
350865,5669175,26,21,16,50,27,199,13,0.35065,-0.2987,-0.51515,PISY
351285,5668695,26,21,15,47,26,196,13,0.35616,-0.28767,-0.51613,PISY
352455,5668755,26,21,15,50,25,197,11,0.33333,-0.33333,-0.53846,BEPE
349815,5668425,25,20,15,50,29,198,13,0.36709,-0.26582,-0.53846,PISY
349845,5668425,25,20,16,48,27,198,14,0.36,-0.28,-0.5,PISY
350625,5668245,27,21,15,48,23,197,10,0.32394,-0.35211,-0.52381,PISY
351735,5668305,24,20,15,56,26,197,12,0.31707,-0.36585,-0.57746,PISY
351885,5667945,25,21,15,55,30,196,14,0.35294,-0.29412,-0.57143,BEPE
350565,5667555,25,20,14,50,23,197,11,0.31507,-0.36986,-0.5625,PISY
350235,5667675,26,21,15,80,40,197,15,0.33333,-0.33333,-0.68421,ALGL
350085,5667885,26,21,16,52,26,196,13,0.33333,-0.33333,-0.52941,PISY
350175,5667915,25,20,16,48,28,197,13,0.36842,-0.26316,-0.5,PISY
351975,5667675,27,22,18,52,29,196,14,0.35802,-0.28395,-0.48571,PISY
352035,5667855,24,20,16,50,24,196,12,0.32432,-0.35135,-0.51515,PISY
351975,5667825,26,21,16,46,23,196,10,0.33333,-0.33333,-0.48387,PISY
351855,5667855,24,20,15,51,26,196,12,0.33766,-0.32468,-0.54545,PISY
351615,5667495,25,20,15,50,26,197,12,0.34211,-0.31579,-0.53846,PISY
351525,5667795,25,20,15,45,25,198,12,0.35714,-0.28571,-0.5,PISY
349935,5667855,26,20,16,55,29,196,14,0.34524,-0.30952,-0.5493,PISY
348645,5667705,25,21,16,53,32,200,16,0.37647,-0.24706,-0.53623,PISY
348675,5667705,25,20,15,52,29,200,15,0.35802,-0.28395,-0.55224,PISY
348045,5668125,26,22,18,54,44,201,25,0.44898,-0.10204,-0.5,BEPE
348375,5668215,25,20,15,47,27,198,13,0.36486,-0.27027,-0.51613,PISY
347655,5667675,26,20,16,44,27,200,14,0.38028,-0.23944,-0.46667,PISY
347625,5665815,26,22,18,44,37,201,20,0.45679,-0.08642,-0.41935,PISY
344265,5663295,25,20,15,72,36,199,14,0.33333,-0.33333,-0.65517,ALGL
345075,5662455,25,20,15,54,29,198,13,0.3494,-0.3012,-0.56522,PISY
345015,5662905,25,20,14,60,32,196,13,0.34783,-0.30435,-0.62162,ALGL
345285,5662125,26,21,15,67,31,198,13,0.31633,-0.36735,-0.63415,PISY
345735,5662845,25,20,14,75,34,196,13,0.31193,-0.37615,-0.68539,ALGL
345855,5662785,25,20,15,49,24,197,11,0.32877,-0.34247,-0.53125,PISY
346095,5662545,26,20,16,55,32,199,14,0.36782,-0.26437,-0.5493,PISY
345705,5662065,25,20,14,77,33,198,13,0.3,-0.4,-0.69231,PISY
346185,5662245,26,20,15,65,36,200,17,0.35644,-0.28713,-0.625,BEPE
346545,5662365,27,22,18,47,32,202,18,0.40506,-0.18987,-0.44615,PISY
346515,5662305,27,22,17,49,31,201,17,0.3875,-0.225,-0.48485,PISY
346365,5662365,26,20,15,49,25,200,12,0.33784,-0.32432,-0.53125,PISY
346935,5662785,25,21,16,48,30,199,15,0.38462,-0.23077,-0.5,PISY
346755,5662485,26,21,16,47,30,201,15,0.38961,-0.22078,-0.49206,PISY
346875,5662605,26,21,17,48,30,199,15,0.38462,-0.23077,-0.47692,PISY
346695,5662605,26,21,15,50,26,199,12,0.34211,-0.31579,-0.53846,PISY
346695,5662275,28,23,18,49,34,204,19,0.40964,-0.18072,-0.46269,PISY
347325,5662275,27,21,18,54,31,203,18,0.36471,-0.27059,-0.5,BEPE
347055,5662245,26,20,16,47,26,200,14,0.35616,-0.28767,-0.49206,PISY
344505,5661345,31,26,23,48,37,199,19,0.43529,-0.12941,-0.35211,PISY
344565,5661285,28,21,17,46,33,199,16,0.41772,-0.16456,-0.46032,PISY
345915,5661765,25,19,15,47,24,199,11,0.33803,-0.32394,-0.51613,PISY
346035,5661675,25,21,15,46,27,201,13,0.36986,-0.26027,-0.5082,PISY
345735,5661645,25,21,17,50,30,200,15,0.375,-0.25,-0.49254,PISY
346305,5661885,25,20,15,52,27,200,11,0.34177,-0.31646,-0.55224,PISY
346575,5661465,26,20,15,45,29,201,14,0.39189,-0.21622,-0.5,PISY
346665,5661495,26,22,17,51,39,202,22,0.43333,-0.13333,-0.5,PISY
346575,5661585,26,22,18,47,36,202,22,0.43373,-0.13253,-0.44615,PISY
346665,5661735,27,21,15,49,29,200,15,0.37179,-0.25641,-0.53125,PISY
346935,5661645,25,20,15,48,27,200,13,0.36,-0.28,-0.52381,PISY
346665,5661885,25,20,15,51,28,199,14,0.35443,-0.29114,-0.54545,PISY
346695,5661825,26,20,15,50,25,198,12,0.33333,-0.33333,-0.53846,PISY
347415,5661795,25,21,15,46,29,200,14,0.38667,-0.22667,-0.5082,PISY
347385,5661615,25,20,15,46,26,200,13,0.36111,-0.27778,-0.5082,PISY
347325,5661405,26,21,17,52,32,202,17,0.38095,-0.2381,-0.50725,PISY
347475,5661795,25,21,15,47,27,200,13,0.36486,-0.27027,-0.51613,PISY
346425,5660895,26,21,19,50,40,204,22,0.44444,-0.11111,-0.44928,PISY
347325,5661105,26,22,18,50,40,202,24,0.44444,-0.11111,-0.47059,PISY
347475,5660895,30,24,20,52,37,201,22,0.41573,-0.16854,-0.44444,PISY
347475,5661045,26,21,15,54,29,201,15,0.3494,-0.3012,-0.56522,PISY
347535,5660925,26,21,16,48,30,202,16,0.38462,-0.23077,-0.5,PISY
347535,5661075,26,21,15,52,31,202,15,0.37349,-0.25301,-0.55224,PISY
347565,5661225,26,22,18,52,39,201,22,0.42857,-0.14286,-0.48571,PISY
347655,5661195,26,21,16,47,30,201,15,0.38961,-0.22078,-0.49206,PISY
347655,5661315,26,21,17,48,31,200,15,0.39241,-0.21519,-0.47692,PISY
347895,5660895,26,21,18,48,32,201,16,0.4,-0.2,-0.45455,PISY
348255,5661285,26,20,15,48,26,196,12,0.35135,-0.2973,-0.52381,PISY
347955,5660715,25,20,16,50,27,199,13,0.35065,-0.2987,-0.51515,PISY
348075,5660805,27,21,16,52,25,200,11,0.32468,-0.35065,-0.52941,PISY
346545,5660445,27,21,17,42,31,202,17,0.42466,-0.15068,-0.42373,PISY
347385,5660685,30,24,20,50,39,206,23,0.4382,-0.1236,-0.42857,PISY
347865,5660745,26,22,19,51,36,201,19,0.41379,-0.17241,-0.45714,PISY
347715,5660415,26,21,18,49,33,202,19,0.40244,-0.19512,-0.46269,PISY
347535,5660355,25,19,14,50,24,201,11,0.32432,-0.35135,-0.5625,PISY
347445,5660385,26,20,15,47,26,201,13,0.35616,-0.28767,-0.51613,PISY
347355,5659875,27,23,18,46,28,201,14,0.37838,-0.24324,-0.4375,PISY
347175,5659905,27,21,16,46,30,199,15,0.39474,-0.21053,-0.48387,PISY
347775,5660325,27,22,20,48,35,202,21,0.42169,-0.15663,-0.41176,PISY
346395,5659395,26,21,17,48,33,202,18,0.40741,-0.18519,-0.47692,PISY
346755,5659305,25,21,17,47,30,199,16,0.38961,-0.22078,-0.46875,PISY
346785,5659485,25,20,17,44,28,199,14,0.38889,-0.22222,-0.44262,PISY
347175,5659815,26,21,16,51,34,199,17,0.4,-0.2,-0.52239,PISY
347985,5659725,26,20,16,50,27,198,13,0.35065,-0.2987,-0.51515,PISY
347265,5659155,26,21,18,43,29,200,15,0.40278,-0.19444,-0.40984,PISY
347235,5659005,30,27,23,46,31,198,17,0.4026,-0.19481,-0.33333,PISY
346755,5658165,26,21,17,46,26,200,13,0.36111,-0.27778,-0.46032,PISY
346485,5658495,25,20,15,66,31,199,13,0.31959,-0.36082,-0.62963,OTHERS
346875,5658795,26,21,18,46,32,202,17,0.41026,-0.17949,-0.4375,PISY
346695,5657925,29,23,19,48,31,201,16,0.39241,-0.21519,-0.43284,PISY
345135,5658795,25,21,14,85,40,198,15,0.32,-0.36,-0.71717,ALGL
345945,5658285,25,21,16,46,32,201,17,0.41026,-0.17949,-0.48387,PISY
345945,5658315,27,22,17,47,34,201,19,0.41975,-0.16049,-0.46875,PISY
345375,5658585,26,21,15,49,26,199,13,0.34667,-0.30667,-0.53125,PISY
360765,5675445,26,20,15,60,37,196,20,0.38144,-0.23711,-0.6,POTR
363045,5675535,25,21,15,71,37,197,16,0.34259,-0.31481,-0.65116,POTR
347325,5659785,28,23,19,47,26,200,13,0.35616,-0.28767,-0.42424,PISY
344715,5661705,32,27,22,51,32,200,17,0.38554,-0.22892,-0.39726,PISY
344775,5662605,25,21,16,51,31,198,16,0.37805,-0.2439,-0.52239,BEPE
346035,5662365,27,22,18,59,41,201,21,0.41,-0.18,-0.53247,PISY
347055,5662365,26,21,16,50,29,200,14,0.36709,-0.26582,-0.51515,PISY
344085,5661945,24,20,15,46,27,198,13,0.36986,-0.26027,-0.5082,PISY
347295,5660235,26,21,16,49,25,201,12,0.33784,-0.32432,-0.50769,PISY
347265,5660025,27,21,17,54,32,201,18,0.37209,-0.25581,-0.52113,PISY
347445,5660205,26,20,15,53,23,200,11,0.30263,-0.39474,-0.55882,PISY
