X,Y,Coastal,Blue,Green,Red,NIR,SWIR1,SWIR2,NDVI,IPVI,GRVI,poroda_short
361785,5669145,31,26,22,53,28,193,15,0.34568,-0.30864,-0.41333,PISY
360135,5669445,26,22,19,53,29,197,13,0.35366,-0.29268,-0.47222,PISY
360165,5669355,27,22,17,48,27,198,14,0.36,-0.28,-0.47692,PISY
360495,5669115,31,25,20,47,27,197,14,0.36486,-0.27027,-0.40299,PISY
360405,5669115,30,23,20,52,27,198,15,0.34177,-0.31646,-0.44444,PISY
360255,5669205,29,23,18,50,28,198,15,0.35897,-0.28205,-0.47059,PISY
360675,5668935,31,26,20,54,31,196,14,0.36471,-0.27059,-0.45946,PISY
360915,5668725,24,19,16,50,28,192,14,0.35897,-0.28205,-0.51515,PISY
360975,5668815,25,20,16,47,24,192,13,0.33803,-0.32394,-0.49206,PISY
361605,5668695,31,26,21,66,33,194,18,0.33333,-0.33333,-0.51724,PISY
360795,5668575,26,22,17,48,34,193,19,0.41463,-0.17073,-0.47692,PISY
360825,5668515,26,20,17,53,36,193,21,0.40449,-0.19101,-0.51429,BEPE
360645,5668005,24,18,16,45,29,193,15,0.39189,-0.21622,-0.47541,PISY
360585,5668035,25,20,18,51,29,193,14,0.3625,-0.275,-0.47826,PISY
360345,5668185,31,27,22,54,37,192,20,0.40659,-0.18681,-0.42105,BEPE
360165,5668545,30,26,21,51,28,194,16,0.35443,-0.29114,-0.41667,PISY
360075,5668545,29,24,20,46,28,194,14,0.37838,-0.24324,-0.39394,PISY
360105,5668755,31,22,18,50,27,197,15,0.35065,-0.2987,-0.47059,PISY
360075,5668785,28,23,18,51,25,197,12,0.32895,-0.34211,-0.47826,PISY
360465,5668575,31,26,21,41,29,197,15,0.41429,-0.17143,-0.32258,PISY
360795,5668665,24,19,16,42,28,193,18,0.4,-0.2,-0.44828,PISY
360825,5668275,26,21,16,50,31,193,15,0.38272,-0.23457,-0.51515,PISY
360915,5668305,24,20,16,47,27,194,13,0.36486,-0.27027,-0.49206,PISY
359025,5666265,30,21,17,84,35,196,13,0.29412,-0.41176,-0.66337,PISY
366645,5664675,25,21,15,53,33,197,17,0.38372,-0.23256,-0.55882,PISY
367485,5664045,24,21,14,89,39,196,16,0.30469,-0.39063,-0.72816,BEPE
349035,5645805,26,21,16,80,31,196,13,0.27928,-0.44144,-0.66667,POTR
352935,5648565,28,22,17,54,26,198,13,0.325,-0.35,-0.52113,PISY
352875,5648475,25,20,15,65,33,199,15,0.33673,-0.32653,-0.625,OTHERS
353775,5649915,27,21,16,49,28,198,14,0.36364,-0.27273,-0.50769,PISY
354225,5649315,27,21,17,47,27,199,14,0.36486,-0.27027,-0.46875,PISY
352845,5650035,25,20,15,50,25,198,12,0.33333,-0.33333,-0.53846,PISY
352455,5649765,27,21,16,51,24,196,11,0.32,-0.36,-0.52239,PISY
358365,5650395,26,20,15,47,22,198,10,0.31884,-0.36232,-0.51613,PISY
357495,5650395,26,21,15,52,28,199,14,0.35,-0.3,-0.55224,PISY
357495,5650575,25,20,16,48,30,199,16,0.38462,-0.23077,-0.5,PISY
356685,5649315,25,21,14,50,25,198,11,0.33333,-0.33333,-0.5625,PISY
356565,5650215,26,21,16,59,35,200,16,0.37234,-0.25532,-0.57333,BEPE
357045,5651055,26,20,13,55,26,197,12,0.32099,-0.35802,-0.61765,PISY
355275,5649825,29,22,16,59,26,198,12,0.30588,-0.38824,-0.57333,PISY
356445,5650515,26,21,16,47,26,199,13,0.35616,-0.28767,-0.49206,PISY
355815,5651025,29,22,18,57,32,198,14,0.35955,-0.2809,-0.52,BEPE
355755,5651355,26,20,15,57,28,197,14,0.32941,-0.34118,-0.58333,BEPE
355005,5649855,28,22,16,54,27,199,13,0.33333,-0.33333,-0.54286,PISY
354225,5651685,25,19,14,50,25,197,11,0.33333,-0.33333,-0.5625,PISY
354495,5651145,27,21,16,49,27,201,13,0.35526,-0.28947,-0.50769,PISY
353985,5650995,27,21,16,47,26,199,13,0.35616,-0.28767,-0.49206,PISY
