lc,map_class,X,Y,lin_100,poly_1_1,poly_1_10,poly_2_1,poly_2_10,poly_3_1,poly_3_10,lin_1,lin_10,lin_50,poly_3_100,poly_3_50,poly_2_100,poly_2_50
crops,"2",358995.000000002,5650545,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
forest,"2",369614.999999999,5657055,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,4.00000,4.00000,2.00000,2.00000
crops,"2",370785.000000002,5644155,2.00000,2.00000,2.00000,2.00000,2.00000,5.00000,5.00000,2.00000,2.00000,2.00000,5.00000,5.00000,2.00000,2.00000
crops,"2",370545.000000003,5672145,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,4.00000,2.00000,2.00000,2.00000,4.00000,4.00000,2.00000,2.00000
crops,"2",370485,5649015.00000001,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",350595.000000001,5669295,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",372734.999999997,5666295,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",358304.999999999,5646735,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",349155.000000001,5645565,4.00000,4.00000,4.00000,4.00000,4.00000,2.00000,2.00000,4.00000,4.00000,4.00000,2.00000,2.00000,4.00000,4.00000
crops,"2",372705.000000002,5674305,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",370634.999999997,5664945,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",360705,5647305.00000001,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",372705.000000003,5670614.99999999,2.00000,2.00000,2.00000,7.00000,7.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",357525.000000003,5678115,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",363404.999999998,5660805,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",366254.999999997,5644094.99999999,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,3.00000,3.00000
crops,"2",370725.000000001,5646945,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",369854.999999998,5673285,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",356355.000000001,5647995,2.00000,2.00000,2.00000,2.00000,2.00000,4.00000,4.00000,2.00000,2.00000,2.00000,4.00000,4.00000,2.00000,2.00000
crops,"2",364965.000000003,5640495,5.00000,2.00000,2.00000,5.00000,5.00000,5.00000,5.00000,2.00000,2.00000,5.00000,5.00000,5.00000,5.00000,5.00000
crops,"2",371865.000000002,5667435,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",355785,5647305,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
